1e-06	0.010001	0.020001	0.030001	0.040001	0.050001	0.060001	0.070001	0.080001	0.090001	0.100001	0.110001	0.120001	0.130001	0.140001	0.150001	0.160001	0.170001	0.180001	0.190001	0.200001	0.210001	0.220001	0.230001	0.240001	0.250001	0.260001	0.270001	0.280001	0.290001	0.300001	0.310001	0.320001	0.330001	0.340001	0.350001	0.360001	0.370001	0.380001	0.390001	0.400001	0.410001	0.420001	0.430001	0.440001	0.450001	0.460001	0.470001	0.480001	0.490001	0.500001	0.510001	0.520001	0.530001	0.540001	0.550001	0.560001	0.570001	0.580001	0.590001	0.600001	0.610001	0.620001	0.630001	0.640001	0.650001	0.660001	0.670001	0.680001	0.690001	0.700001	0.710001	0.720001	0.730001	0.740001	0.750001	0.760001	0.770001	0.780001	0.790001	0.800001	0.810001	0.820001	0.830001	0.840001	0.850001	0.860001	0.870001	0.880001	0.890001	0.900001	0.910001	0.920001	0.930001	0.940001	0.950001	0.960001	0.970001	0.980001	0.990001	1	1.01	1.02	1.03	1.04	1.05	1.06	1.07	1.08	1.09	1.1	1.11	1.12	1.13	1.14	1.15	1.16	1.17	1.18	1.19	1.2	1.21	1.22	1.23	1.24	1.25	1.26	1.27	1.28	1.29	1.3	1.31	1.32	1.33	1.34	1.35	1.36	1.37	1.38	1.39	1.4	1.41	1.42	1.43	1.44	1.45	1.46	1.47	1.48	1.49	1.5	1.51	1.52	1.53	1.54	1.55	1.56	1.57	1.58	1.59	1.6	1.61	1.62	1.63	1.64	1.65	1.66	1.67	1.68	1.69	1.7	1.71	1.72	1.73	1.74	1.75	1.76	1.77	1.78	1.79	1.8	1.81	1.82	1.83	1.84	1.85	1.86	1.87	1.88	1.89	1.9	1.91	1.92	1.93	1.94	1.95	1.96	1.97	1.98	1.99	
5.66953 7.75126 5.35785	6.12954 9.13038 4.37414	6.35545 6.21177 1.14315	7.0266 6.12173 8.01421	8.04888 7.56735 4.49852	8.63065 5.43083 5.96228	0.817414 8.32697 1.36739	1.79103 1.93602 8.62757	0.687627 6.89903 2.01533	6.55231 4.60753 8.72112	6.57555 5.18452 6.23823	4.07808 0.307609 0.0420121	6.07016 1.19528 9.13832	2.86708 7.06573 3.64953	2.10943 3.1674 4.42079	0.783648 0.814312 6.20492	9.70897 8.54332 7.54691	7.54048 2.93924 9.76337	8.89111 2.75524 7.25996	2.75901 0.642119 2.09183	7.42499 1.82067 0.0346485	9.62617 6.94928 6.52839	8.13915 4.73212 2.76655	9.26636 9.63013 3.59708	6.03959 7.3795 7.37106	7.45624 7.02961 6.62162	5.6152 4.6313 8.28591	4.46972 2.5825 4.0909	1.82089 3.62139 4.71547	8.84651 3.33389 2.71079	5.1394 7.93364 0.644273	0.562856 9.89867 7.07589	0.50854 7.01829 6.37566	6.85386 2.8111 6.12812	3.26883 9.21931 9.03559	1.54939 0.554389 7.61482	4.6808 0.166352 5.8733	7.78152 3.92408 2.03221	0.91673 7.53602 7.92247	7.44604 5.66077 0.48959	3.04396 9.84134 3.37411	1.02461 0.703075 6.60653	7.68299 8.09006 9.61093	8.48745 8.49193 3.89822	7.20809 6.26383 6.12818	2.90209 5.48519 9.6516	1.29582 8.80331 7.19608	7.10451 5.37877 0.994076	1.03971 4.41307 0.492241	9.03138 0.289788 0.459473	6.54381 1.89361 5.83895	0.673664 2.23224 7.19111	9.77367 6.08957 7.30319	2.62051 2.87282 3.40818	3.99751 6.14663 6.37191	0.399338 1.63883 3.71818	3.28205 1.36713 7.32928	9.18273 4.1475 6.9351	3.22641 6.38993 5.46875	1.16528 4.95281 1.85903	6.41284 0.702601 8.57965	6.93469 1.35602 0.690245	8.50769 8.764 6.49751	9.36009 4.94169 5.0159	4.14237 0.749551 7.68648	7.0181 3.11706 8.50321	9.84413 0.281298 7.74391	0.485164 4.11061 6.90524	1.26802 1.64232 2.43763	9.73233 1.41297 7.74368	3.87755 9.96637 4.81703	9.82012 6.74149 4.1883	0.6073 6.8872 3.10362	7.43239 6.2637 4.00426	4.42929 3.1123 8.50762	3.8372 1.84521 2.40229	4.92515 6.96025 0.955608	9.7004 4.76665 3.14849	7.17543 7.51904 2.52781	2.63835 2.79009 2.97197	9.75393 4.3304 0.986824	2.04799 0.481104 5.89042	6.91401 3.762 7.91326	5.96673 2.81936 5.0191	6.18101 4.30874 6.99413	2.38742 5.41992 2.57308	0.0231622 9.21114 1.54232	8.96426 2.36589 3.57737	9.38788 2.10511 0.551059	6.67237 2.5927 5.52071	3.93505 6.44941 5.1975	5.62849 8.03666 2.0714	7.14277 8.53766 2.54011	6.82103 0.958774 4.13359	2.4458 6.58968 2.82064	0.846239 2.74659 1.94087	2.14747 2.50992 4.19519	3.27699 6.29199 9.48006	8.82654 7.72517 6.90257	2.34581 6.08695 3.29113	6.08462 4.34719 3.28631	9.9015 4.56473 9.42903	2.06146 6.92645 2.89894	2.36509 0.0339134 9.90275	3.72843 3.86871 1.33861	5.88321 9.01063 1.65924	1.62458 4.30993 6.99434	8.21305 6.76745 0.584146	5.19531 7.55978 7.26633	7.64699 3.03963 7.12443	4.24923 6.77466 1.78392	7.83028 3.61973 6.74254	6.1315 2.0016 0.976605	0.718625 7.9319 1.35393	3.27113 7.85732 7.94187	0.123766 0.161375 2.18061	0.0387676 1.57271 2.56056	2.52757 0.808562 9.42646	4.35913 4.04332 6.12612	8.76779 0.342827 1.95877	0.889675 2.74938 8.87624	3.68063 0.254056 9.95234	8.1665 4.36438 2.11894	0.539141 1.42746 1.33801	6.67664 4.33273 0.0788339	8.17843 4.88292 7.3198	1.32449 0.654866 6.27514	0.547325 8.87486 9.81179	2.84912 5.26935 1.86281	8.93931 2.88299 4.39353	9.37068 3.12323 2.16174	9.93843 5.13203 3.99581	1.93526 5.8849 7.55113	1.26609 9.23693 4.96431	5.67514 2.14361 7.62846	0.554189 4.27445 0.551823	9.78175 1.90297 3.31755	7.64916 9.51051 3.21718	9.57557 6.58295 9.69548	6.72537 3.30083 7.03638	7.3508 4.90255 7.10641	5.54547 2.57287 2.19353	0.9809 5.96087 4.33281	8.29388 5.23145 5.04554	1.62094 3.06648 8.28691	0.733152 2.01545 3.76022	0.917494 0.257865 3.91248	5.91813 6.00773 1.9837	5.69324 6.30332 9.88107	3.44699 3.66435 6.64184	0.408508 5.7164 5.5226	1.22963 6.48919 3.74779	9.53126 1.87699 6.66367	1.3663 3.50211 9.97009	2.95847 2.98224 2.51182	7.06295 7.00836 9.5447	2.14371 9.33946 8.25357	7.84788 9.40913 9.33074	4.46389 4.54173 2.84959	7.29316 6.27344 7.74905	9.63292 0.479221 4.20622	2.30643 4.20573 5.73293	9.1903 1.44636 9.0436	4.79447 0.760038 4.02843	6.30106 1.97397 6.52894	0.222271 5.63327 8.34843	1.32798 9.37525 9.83042	4.52523 5.56437 0.392335	0.831152 9.17152 5.76663	5.70626 5.16656 4.39583	9.32614 4.46614 2.27759	7.03955 3.78809 6.45502	7.83441 2.94078 5.60111	2.67713 4.52982 2.54892	1.53435 7.72799 4.34539	2.75352 8.45875 6.36192	6.5531 7.90695 2.19989	3.26975 4.71944 9.62501	7.06309 9.22291 9.47723	3.96121 6.03082 9.99818	8.54972 5.15698 3.38737	1.96814 8.50843 1.2793	0.972696 8.10478 6.95574	1.01626 0.246125 6.59171	1.19703 8.58793 7.29024	0.920367 8.60299 0.452776	1.02474 2.88312 6.45742	9.99697 9.17141 3.88877	7.1936 2.99562 7.32866	8.94653 4.25268 4.78911	1.80735 6.20338 0.190634	1.08317 4.8143 4.0164	3.74458 5.24611 1.25803	6.64866 4.05676 1.96532	4.11811 2.97137 9.8417	7.04281 8.5463 7.68968	3.0707 9.35261 9.37425	3.03366 6.67024 6.72023	2.81395 3.99168 8.26051	3.15781 3.35223 0.924399	
5.67101 7.7484 5.40775	6.11396 9.11082 4.41744	6.30725 6.22367 1.14905	7.03532 6.08168 8.04078	8.03639 7.55911 4.54622	8.61941 5.43452 6.01082	0.78375 8.30442 1.39848	1.78137 1.94245 8.67619	0.719859 6.91958 2.04763	6.5472 4.59803 8.76989	6.59772 5.22225 6.26245	4.05422 0.276645 0.0731926	6.03305 1.19977 9.17139	2.81733 7.07124 3.6502	2.10889 3.16387 4.47073	0.757465 0.776829 6.22555	9.73549 8.58557 7.54988	7.49648 2.94938 9.78484	8.92328 2.74358 7.29636	2.80715 0.647346 2.10429	7.40196 1.81719 0.078969	9.65222 6.94707 6.57102	8.14114 4.73228 2.81642	9.27949 9.64752 3.6421	6.03506 7.35684 7.41539	7.44228 7.07624 6.6328	5.64754 4.66176 8.30894	4.48109 2.60725 4.13283	1.83021 3.61876 4.7644	8.84962 3.36452 2.7501	5.11682 7.94478 0.687496	0.578033 9.85751 7.09995	0.519846 7.04808 6.41421	6.85139 2.79517 6.17532	3.24937 9.19747 9.07751	1.55941 0.556351 7.6637	4.69182 0.166848 5.92207	7.783 3.93042 2.08193	0.881645 7.54659 7.95644	7.40977 5.68684 0.512359	3.06065 9.82677 3.41895	1.01759 0.690935 6.65317	7.68339 8.09082 9.66091	8.53498 8.49693 3.91289	7.24457 6.29805 6.12883	2.91418 5.45153 9.68658	1.28749 8.80302 7.24905	7.14876 5.38166 1.0172	1.01322 4.42157 0.534325	9.07996 0.294327 0.470403	6.54304 1.88709 5.88861	0.698014 2.26835 7.21571	9.76292 6.13739 7.31312	2.6302 2.88306 3.45499	4.04322 6.14071 6.39117	0.423916 1.6604 3.75671	3.276 1.36927 7.37887	9.16238 4.15579 6.98003	3.19582 6.40501 5.50517	1.1575 4.99617 1.88269	6.36704 0.722564 8.58311	6.91451 1.3243 0.723119	8.51556 8.75815 6.54656	9.36681 4.94351 5.06535	4.15858 0.75952 7.7327	7.04004 3.10386 8.54603	9.8855 0.299338 7.76544	0.506929 4.13231 6.94469	1.274 1.6325 2.48629	9.68814 1.42662 7.76269	3.87883 9.95984 4.86658	9.81822 6.7417 4.23827	0.611789 6.88739 3.15343	7.42752 6.28161 4.05069	4.39038 3.11199 8.53902	3.84206 1.88779 2.42808	4.89946 6.91868 0.966195	9.65774 4.74107 3.15393	7.17784 7.46927 2.53048	2.63458 2.84023 2.97392	9.76266 4.35794 1.02766	2.04963 0.499722 5.93688	6.87934 3.7772 7.94581	5.95914 2.80653 5.06689	6.17651 4.28185 7.03605	2.38218 5.40696 2.62105	0.0682308 9.23158 1.54954	8.96939 2.33623 3.61729	9.36727 2.0916 0.594579	6.66038 2.58394 5.56873	3.93218 6.45513 5.24717	5.62007 8.04687 2.11959	7.13758 8.53427 2.58972	6.85241 0.943774 4.16951	2.42308 6.57395 2.8628	0.841059 2.70266 1.96425	2.10848 2.54003 4.20457	3.31006 6.31937 9.50569	8.8356 7.73258 6.95117	2.32515 6.11578 3.32633	6.0496 4.35783 3.32037	9.87155 4.58864 9.46114	2.10596 6.92513 2.92278	2.38019 0.0816361 9.90395	3.68366 3.88433 1.35457	5.91267 9.02404 1.69735	1.59265 4.34271 7.01449	8.22978 6.76569 0.631237	5.19394 7.54579 7.31433	7.64474 3.03085 7.17376	4.29833 6.77851 1.79266	7.79854 3.60605 6.77899	6.16328 1.96942 0.997987	0.720295 7.93826 1.40376	3.28672 7.83524 7.98393	0.112211 0.191485 2.21884	0.0349721 1.54816 2.60396	2.54284 0.856086 9.42831	4.31498 4.0209 6.13319	8.74024 0.30603 1.97842	0.904601 2.74631 8.92384	3.69648 0.235666 9.99602	8.13364 4.37321 2.15584	0.49304 1.44107 1.35181	6.67446 4.36849 0.113751	8.20681 4.85348 7.34843	1.35665 0.690694 6.28574	0.557775 8.88123 9.86028	2.81343 5.28498 1.89426	8.98607 2.89911 4.4007	9.32114 3.12115 2.16898	9.94216 5.13215 4.04564	1.98065 5.90534 7.55586	1.26703 9.25991 5.00876	5.64886 2.12354 7.66592	0.540277 4.31439 0.578304	9.81267 1.89203 3.35526	7.64726 9.5081 3.26709	9.61524 6.59707 9.72243	6.73113 3.32359 7.0806	7.39389 4.90773 7.13133	5.58656 2.59951 2.2036	0.99478 5.97258 4.37934	8.28611 5.19806 5.08198	1.65431 3.05293 8.32161	0.773921 2.00253 3.7855	0.955686 0.271064 3.94193	5.91768 6.01415 2.03323	5.70543 6.31766 9.92738	3.42913 3.71102 6.64373	0.450156 5.69608 5.5414	1.20408 6.53206 3.75042	9.52023 1.86623 6.71127	1.34594 3.49906 9.98437	2.94017 2.96045 2.55354	7.01698 7.01374 9.5636	2.09528 9.34673 8.26365	7.81707 9.3902 9.36541	4.45183 4.54504 2.898	7.2543 6.28955 7.77843	9.60314 0.514573 4.22532	2.33145 4.19381 5.77454	9.17166 1.41308 9.07591	4.77293 0.721678 4.05217	6.27489 1.96242 6.56971	0.265445 5.64503 8.37076	1.32214 9.42302 9.84385	4.55056 5.53275 0.421667	0.826281 9.20177 5.8061	5.70093 5.15344 4.44378	9.31187 4.50175 2.30971	7.02885 3.81978 6.49222	7.78928 2.94846 5.62141	2.66933 4.57676 2.56454	1.55924 7.72062 4.38812	2.76219 8.41251 6.37887	6.57665 7.89071 2.241	3.24798 4.71881 9.67002	7.09687 9.18853 9.49079	3.95685 6.0399 9.95278	8.59151 5.18431 3.38867	1.94706 8.48618 1.31885	0.972937 8.14747 6.98256	1.06156 0.269218 6.5926	1.1828 8.58999 7.33182	0.923483 8.58517 0.499503	1.01891 2.92956 6.475	9.97346 9.19002 3.92882	7.14646 3.00287 7.34194	8.96571 4.29857 4.79527	1.80183 6.21004 0.239896	1.11343 4.79166 4.04914	3.70789 5.27976 1.2628	6.68184 4.09393 1.96991	4.13273 2.93397 9.87146	7.0342 8.50744 7.71996	3.04432 9.3611 9.41393	3.07786 6.69077 6.73144	2.83423 3.94733 8.27153	3.1221 3.32089 0.9398	
5.67251 7.74553 5.45765	6.09839 9.09123 4.46073	6.25905 6.23551 1.15505	7.04615 6.04361 8.06478	8.0239 7.55087 4.59389	8.60812 5.43815 6.05928	0.749254 8.27663 1.42958	1.77168 1.94895 8.7248	0.752128 6.94016 2.07998	6.54204 4.5885 8.81853	6.61996 5.25993 6.28674	4.03037 0.245691 0.104384	5.99602 1.20415 9.20428	2.76743 7.07662 3.65072	2.10805 3.16045 4.52077	0.733006 0.738683 6.24776	9.76197 8.62779 7.55283	7.45247 2.95954 9.80625	8.95541 2.73193 7.33272	2.85529 0.652608 2.11677	7.37886 1.81365 0.123399	9.67822 6.94485 6.6137	8.14324 4.73233 2.8661	9.29272 9.66478 3.68718	6.03041 7.33419 7.45969	7.4283 7.12275 6.64396	5.67999 4.69218 8.33196	4.49246 2.63201 4.17475	1.83989 3.61557 4.81297	8.85285 3.39514 2.78923	5.09424 7.95584 0.730783	0.593261 9.81626 7.124	0.53119 7.07788 6.45279	6.84881 2.77912 6.22221	3.22842 9.17676 9.12179	1.56939 0.558344 7.71245	4.70283 0.167368 5.97084	7.78507 3.93756 2.13182	0.846594 7.55724 7.99031	7.37324 5.71265 0.535617	3.07735 9.81219 3.4638	1.01128 0.676137 6.69693	7.68375 8.09161 9.71085	8.58249 8.50191 3.92758	7.28107 6.33231 6.12957	2.92645 5.41777 9.72153	1.27025 8.78436 7.30914	7.1932 5.38483 1.0399	0.985019 4.42968 0.576607	9.12852 0.298885 0.481355	6.54222 1.88101 5.93849	0.722427 2.30449 7.24025	9.75212 6.18526 7.32299	2.63987 2.89313 3.49997	4.08886 6.13483 6.41038	0.449759 1.68318 3.79528	3.26998 1.37138 7.42848	9.14193 4.16409 7.02495	3.16549 6.42011 5.54156	1.14977 5.03953 1.90635	6.32115 0.742678 8.58671	6.89432 1.29271 0.755944	8.52343 8.75222 6.59563	9.37334 4.94518 5.11469	4.17476 0.76954 7.7789	7.06197 3.09077 8.58866	9.92685 0.317455 7.78697	0.528794 4.15401 6.98414	1.27991 1.62272 2.53497	9.64392 1.44025 7.78166	3.8801 9.95329 4.91612	9.81628 6.74189 4.28824	0.616439 6.88751 3.20329	7.42265 6.2995 4.09713	4.35147 3.11167 8.57042	3.84689 1.93042 2.45389	4.87376 6.87714 0.97686	9.61495 4.71549 3.15936	7.18003 7.41971 2.53306	2.63148 2.89083 2.97676	9.77134 4.38547 1.06855	2.05096 0.518421 5.98351	6.8447 3.79224 7.97822	5.9517 2.79366 5.11482	6.17216 4.25487 7.07798	2.37707 5.39394 2.66893	0.113364 9.25194 1.55674	8.9746 2.30663 3.65726	9.34664 2.0781 0.638118	6.6484 2.57515 5.61729	3.92906 6.46082 5.29697	5.61177 8.05709 2.16776	7.1323 8.53072 2.6393	6.88379 0.928801 4.20544	2.39902 6.55926 2.90563	0.835902 2.65868 1.98766	2.06954 2.57064 4.21404	3.34326 6.34656 9.53142	8.84466 7.74 6.99974	2.30453 6.14507 3.36104	6.01457 4.36848 3.35442	9.84158 4.61255 9.49325	2.15178 6.92222 2.94651	2.39535 0.129489 9.90506	3.63877 3.8999 1.3705	5.94214 9.03734 1.73551	1.56068 4.37546 7.03461	8.24646 6.76389 0.678348	5.19274 7.53174 7.36233	7.64117 3.0224 7.22324	4.34749 6.78235 1.80133	7.76641 3.59208 6.81564	6.19513 1.9372 1.01936	0.722885 7.94992 1.45347	3.3023 7.81316 8.02597	0.100676 0.221652 2.25709	0.0312788 1.52362 2.64738	2.5581 0.90351 9.43021	4.27076 3.99846 6.1403	8.71269 0.269251 1.99805	0.919653 2.74324 8.97137	3.71228 0.217293 9.9603	8.10026 4.38145 2.19293	0.446955 1.45469 1.36568	6.67229 4.40428 0.148719	8.23498 4.824 7.37697	1.38684 0.726058 6.29778	0.568342 8.88766 9.90875	2.77767 5.30056 1.92593	9.03281 2.91521 4.40779	9.27142 3.11919 2.17644	9.94579 5.13221 4.09543	2.02605 5.92577 7.56058	1.26791 9.28286 5.05334	5.62263 2.1035 7.70334	0.528123 4.35474 0.604654	9.84346 1.88115 3.39299	7.64536 9.50562 3.31699	9.6549 6.61118 9.74936	6.73773 3.34605 7.12506	7.4371 4.91283 7.15626	5.62766 2.62617 2.21368	1.00873 5.98438 4.42573	8.27845 5.16464 5.11849	1.68763 3.03932 8.35635	0.813494 1.98841 3.81064	0.993877 0.284313 3.97138	5.91728 6.02059 2.08267	5.71763 6.33199 9.97367	3.41131 3.75772 6.64558	0.491847 5.67578 5.56019	1.1785 6.57488 3.75303	9.50917 1.85549 6.75895	1.32558 3.49599 9.93879	2.92112 2.93839 2.59636	6.97101 7.01913 9.58247	2.04685 9.35396 8.27372	7.78595 9.37115 9.40014	4.43977 4.54835 2.9464	7.21331 6.30363 7.8103	9.57336 0.549954 4.24442	2.35645 4.18185 5.81614	9.15302 1.37981 9.10816	4.75138 0.683343 4.07591	6.24891 1.95098 6.61015	0.308643 5.65679 8.39306	1.31621 9.47071 9.85726	4.57587 5.50115 0.451068	0.821499 9.23199 5.8455	5.69561 5.14031 4.49172	9.29752 4.53734 2.34197	7.01823 3.8512 6.52973	7.74401 2.95615 5.64182	2.66149 4.62392 2.58009	1.58414 7.7132 4.43082	2.77083 8.36624 6.39584	6.60035 7.87443 2.28223	3.22612 4.71841 9.71502	7.13096 9.15418 9.50429	3.95229 6.04901 9.90361	8.63325 5.21149 3.38984	1.92588 8.46388 1.35839	0.973561 8.19091 7.00993	1.10679 0.296123 6.59333	1.1771 8.60962 7.36575	0.926591 8.56727 0.546438	1.01307 2.97598 6.49264	9.94979 9.20871 3.96881	7.09994 3.01082 7.35436	8.98497 4.34468 4.80149	1.79632 6.21669 0.289192	1.14373 4.76906 4.08189	3.67118 5.3134 1.26763	6.7151 4.13112 1.97452	4.14736 2.89659 9.90118	7.02558 8.46854 7.75024	3.01937 9.36842 9.45119	3.1221 6.71127 6.7426	2.8545 3.90296 8.28254	3.08648 3.28966 0.955315	
5.674 7.74264 5.50756	6.08283 9.07162 4.50403	6.21084 6.24731 1.16114	7.0586 6.00803 8.08628	8.01141 7.54263 4.64154	8.59679 5.44174 6.10766	0.71421 8.23993 1.46132	1.76197 1.95552 8.77338	0.784434 6.96079 2.11238	6.53681 4.57893 8.86704	6.64227 5.29759 6.31109	4.00652 0.214745 0.135585	5.95907 1.20845 9.237	2.71735 7.08185 3.65106	2.10687 3.15716 4.5709	0.710057 0.700075 6.27132	9.78841 8.66998 7.55574	7.40843 2.96971 9.8276	8.98748 2.72028 7.36904	2.90343 0.657904 2.12927	7.35569 1.81005 0.167936	9.70417 6.94258 6.65644	8.14546 4.73227 2.91558	9.30606 9.6819 3.73233	6.02562 7.31157 7.50396	7.4143 7.16913 6.65507	5.71257 4.72257 8.35497	4.50382 2.65678 4.21668	1.84994 3.61181 4.86117	8.85619 3.42575 2.82817	5.07166 7.96682 0.77413	0.608545 9.77491 7.14803	0.542574 7.10772 6.49139	6.8461 2.76294 6.26876	3.2061 9.15728 9.16817	1.57934 0.560368 7.76108	4.71385 0.167914 6.01961	7.78776 3.94565 2.18189	0.81158 7.56795 8.02408	7.33652 5.73813 0.559427	3.09405 9.7976 3.50866	1.00602 0.658148 6.7379	7.68407 8.09243 9.76075	8.62998 8.50689 3.94227	7.31758 6.36661 6.13039	2.93891 5.38382 9.75644	1.27361 8.80474 7.35603	7.23778 5.38833 1.06213	0.954696 4.43747 0.619055	9.17708 0.303461 0.492329	6.54134 1.87537 5.9886	0.7469 2.34069 7.26474	9.74129 6.23318 7.3328	2.64946 2.90317 3.54362	4.13443 6.12899 6.42953	0.477138 1.7072 3.83387	3.26399 1.37348 7.47811	9.12137 4.1724 7.06987	3.13541 6.43522 5.57793	1.14208 5.08289 1.93001	6.27518 0.762932 8.59044	6.87413 1.26127 0.788728	8.53132 8.74621 6.64474	9.37964 4.94667 5.16391	4.19089 0.77961 7.82508	7.08387 3.07779 8.63114	9.96817 0.335646 7.8085	0.550771 4.17569 7.02357	1.28576 1.61299 2.58367	9.59968 1.45388 7.80058	3.88137 9.94672 4.96566	9.81431 6.74205 4.33822	0.62129 6.88756 3.25322	7.41781 6.31739 4.14359	4.31256 3.11136 8.60183	3.85168 1.97308 2.47972	4.84803 6.83561 0.987624	9.57202 4.68991 3.16473	7.182 7.37035 2.53557	2.62955 2.9416 2.97948	9.77999 4.413 1.10949	2.05193 0.537219 6.03033	6.81009 3.80712 8.01046	5.94443 2.78073 5.1629	6.168 4.2278 7.11991	2.37211 5.38083 2.71669	0.158559 9.27222 1.56393	8.97989 2.2771 3.69727	9.32599 2.0646 0.681677	6.63646 2.56634 5.66641	3.9257 6.46647 5.34691	5.6036 8.06732 2.2159	7.12694 8.52701 2.68883	6.91516 0.913856 4.24138	2.3734 6.54632 2.94928	0.830768 2.61464 2.01111	2.03067 2.60178 4.22363	3.37664 6.37356 9.55729	8.85371 7.74743 7.04828	2.28397 6.17492 3.39517	5.97954 4.37914 3.38848	9.8116 4.63646 9.52533	2.19912 6.91696 2.97019	2.41057 0.177473 9.9061	3.59378 3.91542 1.38641	5.97161 9.05053 1.77371	1.52867 4.40818 7.05472	8.26311 6.76205 0.725477	5.19171 7.51764 7.41034	7.6365 3.01432 7.27269	4.39672 6.78618 1.80991	7.7339 3.57781 6.8525	6.22706 1.90493 1.04073	0.726123 7.97056 1.50245	3.31786 7.79108 8.068	0.0891602 0.25188 2.29535	0.027686 1.49909 2.69082	2.57334 0.950835 9.43216	4.22648 3.97601 6.14745	8.68514 0.23249 2.01767	0.934832 2.74019 9.01884	3.72803 0.198941 9.9166	8.0663 4.38891 2.23019	0.400888 1.46834 1.37964	6.67013 4.44011 0.183738	8.26294 4.79449 7.40539	1.4156 0.760691 6.31089	0.579018 8.89416 9.95719	2.74184 5.31609 1.95784	9.07953 2.93127 4.41478	9.22153 3.11737 2.18411	9.9493 5.13224 4.1452	2.07146 5.94621 7.56527	1.26873 9.30577 5.09806	5.59644 2.08349 7.74072	0.51813 4.39543 0.630904	9.87414 1.87033 3.43076	7.64346 9.50308 3.36689	9.69455 6.62529 9.77627	6.74532 3.36796 7.16986	7.48044 4.91786 7.1812	5.66877 2.65283 2.22374	1.02273 5.99624 4.47201	8.2709 5.13118 5.15506	1.72091 3.02565 8.39114	0.851604 1.97303 3.83569	1.03206 0.297614 4.00082	5.91691 6.02706 2.13201	5.72983 6.34633 9.98008	3.39354 3.80446 6.64738	0.53358 5.65549 5.57894	1.15286 6.61768 3.75559	9.49807 1.84478 6.80671	1.30523 3.4929 9.89316	2.9009 2.91616 2.6408	6.92504 7.02454 9.60131	1.99841 9.36114 8.28377	7.75443 9.35191 9.43492	4.42769 4.55165 2.99479	7.1707 6.31519 7.84458	9.54357 0.585367 4.2635	2.38144 4.16987 5.85773	9.13437 1.34655 9.14038	4.72983 0.645032 4.09966	6.22311 1.93965 6.65027	0.351866 5.66855 8.41535	1.3102 9.5183 9.87065	4.60115 5.46956 0.480537	0.816805 9.2622 5.88484	5.6903 5.12716 4.53964	9.28311 4.57292 2.3744	7.00769 3.88236 6.56755	7.69861 2.96386 5.66234	2.6536 4.67136 2.59559	1.60905 7.70573 4.47349	2.77946 8.31995 6.41282	6.62423 7.85811 2.3236	3.20415 4.7183 9.75999	7.16547 9.11991 9.51772	3.94747 6.05819 9.85427	8.67494 5.2385 3.39089	1.90459 8.44155 1.39793	0.974629 8.23522 7.03801	1.15132 0.327422 6.59437	1.15037 8.58932 7.4122	0.929684 8.54929 0.593589	1.00723 3.02239 6.51035	9.92594 9.22747 4.00874	7.05366 3.01966 7.36599	9.00432 4.39105 4.80782	1.7908 6.22333 0.338523	1.17406 4.74649 4.11465	3.63443 5.34703 1.2725	6.74844 4.16832 1.97916	4.16199 2.85922 9.93085	7.01697 8.4296 7.78051	2.99575 9.37449 9.48629	3.16638 6.73173 6.75371	2.87477 3.85859 8.29354	3.05094 3.25853 0.970934	
